date;time;article_code;article_descr;quantity;unit_price_excl_vat;amount_excl_vat;discount_excl_vat;vat_percent;parent_article_code
16/01/2026;07:35:58;KIDS MENU-035;NAPOLITANA;1;40909.09;40909.09;0;10;
16/01/2026;07:35:58;MOD-36;OUT TOGETHER PS;1;0;0;0;10;KIDS MENU-035
16/01/2026;07:35:58;DAY ENTRY-002;DAY PASS ENTRY;1;137740.91;137740.91;0;10;
16/01/2026;07:35:58;DAY ENTRY-003;DAY ENTRY - ADULT;1;0;0;0;10;
16/01/2026;07:35:58;DAY ENTRY-003;DAY ENTRY - ADULT;1;0;0;0;10;
